,symbol
0,BA
1,ALZN
2,SPCE
3,TSLA
4,PFE
5,CIBR
6,KIND
7,CRM
8,MCD
9,HD
10,MSFT
11,NKE
12,WMT
13,V
14,CAT
15,LEVI
16,CAG
17,XLE
18,HON
19,MRK
20,BA
21,KDP
22,ICMB
23,B
24,SCI
25,CWEN
26,UBER
27,GILT
28,ESMT
29,F
30,STAG
31,ARRY
32,MP
33,RDWR
34,PANW
35,HOOD
36,WOLF
37,ACLS
38,XLF
39,M
40,SWN
41,OTLY
